id,survey_id,date_start,location_id,entered_sref,entered_sref_system,created_on,created_by_id,LATITUDE,LONGITUDE,monad,monadCRS,country
2536532,154,30/05/2017,165071,D3007804426,OSIE,11:52.0,128464,54.87059217,-5.973511899,D3004,OSIE,Northern_Ireland
2557009,154,07/06/2017,177514,H8115375590,OSIE,38:28.0,87686,54.62191559,-6.743490159,H8175,OSIE,Northern_Ireland
2557028,154,07/06/2017,177511,H8116275530,OSIE,52:29.0,87686,54.62137522,-6.743367458,H8175,OSIE,Northern_Ireland
2557034,154,07/06/2017,136350,H8109675408,OSIE,59:02.0,87686,54.62029001,-6.744422805,H8175,OSIE,Northern_Ireland
2557056,154,07/06/2017,177510,H8123175183,OSIE,22:49.0,87686,54.61824736,-6.742395559,H8175,OSIE,Northern_Ireland
2561894,154,31/05/2017,179920,J2627539892,OSIE,59:42.0,95882,54.29211295,-6.060447918,J2639,OSIE,Northern_Ireland
2561902,154,31/05/2017,179923,J2623239903,OSIE,07:06.0,95882,54.29222234,-6.061103324,J2639,OSIE,Northern_Ireland
2562023,154,31/05/2017,179924,J2623839902,OSIE,40:57.0,95882,54.29221188,-6.061011646,J2639,OSIE,Northern_Ireland
2562076,154,31/05/2017,179925,J2625939887,OSIE,54:22.0,95882,54.29207201,-6.060695627,J2639,OSIE,Northern_Ireland
2563729,154,14/06/2017,179949,H8121275443,OSIE,40:51.0,87686,54.62058575,-6.742617619,H8175,OSIE,Northern_Ireland
2831276,154,29/08/2017,136350,H8109675408,OSIE,40:23.0,87686,54.62029001,-6.744422805,H8175,OSIE,Northern_Ireland
2831293,154,29/08/2017,177510,H8123175183,OSIE,45:20.0,87686,54.61824736,-6.742395559,H8175,OSIE,Northern_Ireland
2831317,154,29/08/2017,177514,H8115375590,OSIE,51:54.0,87686,54.62191559,-6.743490159,H8175,OSIE,Northern_Ireland
2831333,154,29/08/2017,177511,H8116275530,OSIE,58:51.0,87686,54.62137522,-6.743367458,H8175,OSIE,Northern_Ireland
2831396,154,29/08/2017,179949,H8121275443,OSIE,11:42.0,87686,54.62058575,-6.742617619,H8175,OSIE,Northern_Ireland
2955076,154,06/09/2017,179038,J4841397147,OSIE,42:35.0,133430,54.80015275,-5.691847141,J4897,OSIE,Northern_Ireland
